wl,ref
477.521,31.16
477.955,30.99
478.39,30.79
478.824,30.58
479.258,30.4
479.692,30.18
480.126,29.97
480.56,29.8
480.994,29.58
481.428,29.29
481.862,29.05
482.296,28.93
482.729,28.87
483.163,28.75
483.597,28.65
484.03,28.54
484.464,28.44
484.897,28.33
485.331,28.17
485.764,28.04
486.198,27.95
486.631,27.83
487.064,27.63
487.497,27.39
487.93,27.23
488.363,27.09
488.796,26.95
489.229,26.8
489.662,26.64
490.095,26.52
490.528,26.41
490.961,26.29
491.393,26.17
491.826,26.08
492.259,25.97
492.691,25.86
493.124,25.77
493.556,25.69
493.989,25.62
494.421,25.54
494.853,25.45
495.285,25.33
495.718,25.21
496.15,25.08
496.582,24.94
497.014,24.8
497.446,24.68
497.878,24.55
498.31,24.44
498.741,24.32
499.173,24.23
499.605,24.13
500.036,24.05
500.468,23.94
500.9,23.85
501.331,23.75
501.763,23.63
502.194,23.49
502.625,23.36
503.057,23.24
503.488,23.11
503.919,22.98
504.35,22.83
504.781,22.7
505.212,22.57
505.643,22.42
506.074,22.28
506.505,22.15
506.936,22
507.366,21.88
507.797,21.71
508.228,21.57
508.658,21.43
509.089,21.3
509.519,21.17
509.95,21.03
510.38,20.91
510.81,20.79
511.241,20.66
511.671,20.53
512.101,20.4
512.531,20.28
512.961,20.16
513.391,20.04
513.821,19.92
514.251,19.81
514.681,19.71
515.111,19.6
515.54,19.47
515.97,19.34
516.4,19.23
516.829,19.11
517.259,19
517.688,18.89
518.118,18.78
518.547,18.69
518.976,18.6
519.405,18.51
519.835,18.42
520.264,18.35
520.693,18.3
521.122,18.24
521.551,18.18
521.98,18.11
522.409,18.05
522.837,17.98
523.266,17.91
523.695,17.82
524.123,17.76
524.552,17.69
524.981,17.63
525.409,17.56
525.837,17.48
526.266,17.41
526.694,17.36
527.122,17.34
527.551,17.33
527.979,17.31
528.407,17.3
528.835,17.27
529.263,17.26
529.691,17.25
530.119,17.22
530.547,17.21
530.974,17.19
531.402,17.15
531.83,17.08
532.257,17.03
532.685,16.98
533.112,16.94
533.54,16.93
533.967,16.9
534.394,16.86
534.822,16.84
535.249,16.82
535.676,16.79
536.103,16.78
536.53,16.78
536.957,16.75
537.384,16.73
537.811,16.69
538.238,16.63
538.665,16.57
539.091,16.51
539.518,16.44
539.945,16.38
540.371,16.31
540.798,16.27
541.224,16.23
541.651,16.17
542.077,16.11
542.503,16.07
542.93,16.01
543.356,15.97
543.782,15.92
544.208,15.86
544.634,15.81
545.06,15.75
545.486,15.67
545.912,15.59
546.337,15.52
546.763,15.45
547.189,15.38
547.614,15.31
548.04,15.24
548.465,15.18
548.891,15.12
549.316,15.05
549.742,14.98
550.167,14.91
550.592,14.83
551.017,14.74
551.442,14.66
551.868,14.58
552.293,14.51
552.717,14.43
553.142,14.36
553.567,14.29
553.992,14.21
554.417,14.14
554.841,14.07
555.266,14.01
555.691,13.95
556.115,13.9
556.54,13.83
556.964,13.78
557.388,13.73
557.813,13.67
558.237,13.62
558.661,13.55
559.085,13.5
559.509,13.44
559.933,13.37
560.357,13.31
560.781,13.26
561.205,13.2
561.629,13.15
562.052,13.11
562.476,13.06
562.9,13.02
563.323,13
563.747,12.96
564.17,12.93
564.593,12.91
565.017,12.86
565.44,12.84
565.863,12.8
566.286,12.77
566.709,12.74
567.132,12.72
567.555,12.69
567.978,12.66
568.401,12.62
568.824,12.6
569.247,12.58
569.669,12.57
570.092,12.54
570.515,12.53
570.937,12.5
571.36,12.5
571.782,12.49
572.204,12.48
572.627,12.47
573.049,12.48
573.471,12.5
573.893,12.5
574.315,12.5
574.737,12.52
575.159,12.52
575.581,12.53
576.003,12.55
576.425,12.54
576.847,12.55
577.268,12.57
577.69,12.57
