wl,D01.1,D01.2,D01.3,D02.1,D02.2,D02.3,D02.4,D03.1,D03.2,D03.3,D04.1,D04.2,D04.3,D05.1,D05.2,D05.3,D06.1,D06.2,D06.3,D07.1,D07.2,D07.3,D08.1,D08.2,D08.3,D08.4,D09.1,D09.2,D09.3,D09.4,D10.1,D10.2,D10.3,D10.4,D11.1,D11.2,D11.3,D11.4,D11.5,D12.1,D12.2,D12.3,D12.4,D13.1,D13.2,D13.3,D13.4
637,31.12270835,83.8310417,27.39666667,23.04833334,24.44,34.16458334,42.990625,63.42854165,82.3,29.925,10.96270834,7.178541665,19.9825,22.31833333,19.70354167,84.13145835,77.91708334,50.02625,64.95729167,7.518958335,20.57104167,77.7275,17.82270834,19.51770833,9.263125,14.77958334,15.26708334,20.30125,29.51729167,62.72479167,78.64979165,39.15166667,77.72895835,68.31104167,66.89583333,83.36020835,21.675625,43.291875,20.37,29.42875,4.769791665,52.35,78.83104165,70.790625,19.21104167,10.625625,66.23354165
638,31.2404167,83.9691667,27.44916667,23.10041667,24.52791667,34.25125,43.0875,63.57875,82.4183333,29.97875,11.0075,7.18375,19.99875,22.35958333,19.75,84.29375,77.98416667,50.08791667,65.045,7.55291667,20.6,77.8833333,17.87666667,19.54833333,9.29291667,14.84541667,15.33125,20.37,29.58791667,62.85166667,78.78125,39.21375,77.8579167,68.42083333,66.95833333,83.50375,21.71416667,43.35208333,20.40708333,29.475,4.79,52.42958333,79.00375,70.98375,19.255,10.65458333,66.3658333
639,31.3675,84.0997917,27.515625,23.15916667,24.63208334,34.344375,43.19333334,63.71854165,82.52541665,30.04770834,11.06458334,7.204166665,20.03729167,22.40833333,19.81270834,84.44958335,78.04875,50.16333334,65.13875,7.58541667,20.63395834,78.01479165,17.92833334,19.58666667,9.317708335,14.91125,15.40541667,20.44770834,29.66208334,62.979375,78.92270835,39.29104167,77.96895835,68.53395833,67.02583333,83.65229165,21.77270834,43.42020833,20.45416667,29.52979167,4.821666665,52.510625,79.16125,71.14958335,19.31104167,10.684375,66.4858333
640,31.4945833,84.2304167,27.58208333,23.21791667,24.73625,34.4375,43.29916667,63.8583333,82.6325,30.11666667,11.12166667,7.22458333,20.07583333,22.45708333,19.87541667,84.6054167,78.11333333,50.23875,65.2325,7.61791667,20.66791667,78.14625,17.98,19.625,9.3425,14.97708333,15.47958333,20.52541667,29.73625,63.10708333,79.0641667,39.36833333,78.08,68.64708333,67.09333333,83.8008333,21.83125,43.48833333,20.50125,29.58458333,4.85333333,52.59166667,79.31875,71.3154167,19.36708333,10.71416667,66.6058333
641,31.63416665,84.39270835,27.67208333,23.29083334,24.85020834,34.55458334,43.41291667,63.99854165,82.75125,30.199375,11.193125,7.27895833,20.13916667,22.53583333,19.955,84.74458335,78.18041667,50.32875,65.33375,7.670833335,20.71270834,78.2775,18.03770834,19.68479167,9.372291665,15.05875,15.57625,20.60395834,29.819375,63.23395833,79.2029167,39.47,78.200625,68.77229167,67.17916667,83.955625,21.91229167,43.575625,20.58041667,29.65875,4.90333333,52.681875,79.4725,71.480625,19.43229167,10.7475,66.71604165
642,31.77375,84.555,27.76208333,23.36375,24.96416667,34.67166667,43.52666667,64.13875,82.87,30.28208333,11.26458333,7.33333333,20.2025,22.61458333,20.03458333,84.88375,78.2475,50.41875,65.435,7.72375,20.7575,78.40875,18.09541667,19.74458333,9.40208333,15.14041667,15.67291667,20.6825,29.9025,63.36083333,79.3416667,39.57166667,78.32125,68.8975,67.265,84.1104167,21.99333333,43.66291667,20.65958333,29.73291667,4.95333333,52.77208333,79.62625,71.6458333,19.4975,10.78083333,66.82625
643,31.887275,84.7105,27.84844167,23.440075,25.07608334,34.79063334,43.62933334,64.251575,82.9746,30.36084167,11.34429167,7.409666665,20.27265,22.70609167,20.11269167,84.993275,78.30115,50.495175,65.5117,7.785675,20.81115,78.511375,18.16330834,19.80829167,9.442641665,15.21820834,15.77245834,20.75365,29.98245,63.46041667,79.44283335,39.66083334,78.431025,69.00015,67.3443,84.23180835,22.07926667,43.75505834,20.74639167,29.81185834,5.021866665,52.85184167,79.761525,71.77151665,19.56835,10.82281667,66.926725
644,32.0008,84.866,27.9348,23.5164,25.188,34.9096,43.732,64.3644,83.0792,30.4396,11.424,7.486,20.3428,22.7976,20.1908,85.1028,78.3548,50.5716,65.5884,7.8476,20.8648,78.614,18.2312,19.872,9.4832,15.296,15.872,20.8248,30.0624,63.56,79.544,39.75,78.5408,69.1028,67.4236,84.3532,22.1652,43.8472,20.8332,29.8908,5.0904,52.9316,79.8968,71.8972,19.6392,10.8648,67.0272
645,32.1334,85.0226,28.0346,23.6174,25.323,35.0528,43.8558,64.4874,83.196,30.546,11.5264,7.58,20.4394,22.9096,20.2912,85.2296,78.4294,50.66,65.681,7.9312,20.9322,78.7256,18.3276,19.9636,9.5468,15.402,15.9926,20.9242,30.1594,63.6654,79.6566,39.8514,78.6568,69.2236,67.5284,84.494,22.2708,43.9718,20.9386,29.9972,5.19,53.0384,80.0454,72.0146,19.7278,10.9268,67.1458
646,32.266,85.1792,28.1344,23.7184,25.458,35.196,43.9796,64.6104,83.3128,30.6524,11.6288,7.674,20.536,23.0216,20.3916,85.3564,78.504,50.7484,65.7736,8.0148,20.9996,78.8372,18.424,20.0552,9.6104,15.508,16.1132,21.0236,30.2564,63.7708,79.7692,39.9528,78.7728,69.3444,67.6332,84.6348,22.3764,44.0964,21.044,30.1036,5.2896,53.1452,80.194,72.132,19.8164,10.9888,67.2644
